time_s,temp_c,R_cal_ohm,Vpt_V,ADC
2025-11-06 23:49:53,1113,49.1,118.90,1.189,1476
2025-11-06 23:49:58,1118,49.1,118.90,1.189,1476
2025-11-06 23:50:03,1123,43.1,116.58,1.175,1458
2025-11-06 23:50:08,1128,48.1,118.51,1.187,1473
2025-11-06 23:50:13,1133,47.7,118.38,1.186,1472
2025-11-06 23:50:18,1138,49.4,119.03,1.190,1477
2025-11-06 23:50:23,1143,inf,inf,3.300,4095
2025-11-06 23:50:28,1148,103.8,139.95,1.313,1629
2025-11-06 23:50:33,1153,78.3,130.14,1.257,1560
2025-11-06 23:50:38,1158,109.5,142.15,1.325,1644
2025-11-06 23:50:43,1163,94.0,136.19,1.292,1603
2025-11-06 23:50:48,1168,98.5,137.91,1.301,1615
2025-11-06 23:50:53,1173,84.1,132.36,1.270,1576
2025-11-06 23:50:58,1178,10.2,103.91,1.092,1355
2025-11-06 23:51:03,1183,23.6,109.08,1.127,1398
2025-11-06 23:53:37,1338,62.7,124.16,1.222,1516
2025-11-06 23:53:42,1343,66.2,125.50,1.230,1526
2025-11-06 23:53:46,1348,65.5,125.23,1.228,1524
